season,venue,team,opposition_team,player,player_role,balls_faced,strike_rate,runs_scored,overs_bowled,economy,wickets
2017,Arun Jaitley Stadium,Royal Challengers Bangalore,Delhi Capitals,Mohammed Shami,bowler,,,,2.0,9.26,3.0
2017,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians,Yuzvendra Chahal,bowler,,,,2.0,6.76,2.0
2017,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders,Shubman Gill,batsman,32.0,133.9,42.0,,,
2017,Wankhede Stadium,Delhi Capitals,Chennai Super Kings,Yuzvendra Chahal,bowler,,,,2.0,8.18,3.0
2017,MA Chidambaram Stadium,Sunrisers Hyderabad,Chennai Super Kings,Rishabh Pant,batsman,26.0,177.49,46.0,,,
2017,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Ravindra Jadeja,bowler,,,,4.0,9.71,2.0
2017,M Chinnaswamy Stadium,Mumbai Indians,Delhi Capitals,Jasprit Bumrah,bowler,,,,4.0,7.54,2.0
2017,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,Rohit Sharma,batsman,38.0,140.49,53.0,,,
2017,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,Mohammed Shami,bowler,,,,2.0,7.52,5.0
2017,Eden Gardens,Chennai Super Kings,Delhi Capitals,Rishabh Pant,batsman,49.0,101.1,49.0,,,
2017,M Chinnaswamy Stadium,Mumbai Indians,Kolkata Knight Riders,Shubman Gill,batsman,18.0,148.74,26.0,,,
2017,Wankhede Stadium,Kolkata Knight Riders,Delhi Capitals,Jasprit Bumrah,bowler,,,,2.0,6.03,0.0
2017,MA Chidambaram Stadium,Chennai Super Kings,Delhi Capitals,Mohammed Shami,bowler,,,,3.0,8.09,1.0
2017,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,Mohammed Shami,bowler,,,,3.0,6.15,0.0
2017,Eden Gardens,Kolkata Knight Riders,Delhi Capitals,Mohammed Shami,bowler,,,,2.0,9.02,3.0
2017,MA Chidambaram Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,KL Rahul,batsman,27.0,138.81,37.0,,,
2017,Wankhede Stadium,Royal Challengers Bangalore,Delhi Capitals,Rohit Sharma,batsman,37.0,157.28,58.0,,,
2017,Wankhede Stadium,Delhi Capitals,Sunrisers Hyderabad,KL Rahul,batsman,14.0,176.87,24.0,,,
2017,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,Mohammed Shami,bowler,,,,2.0,9.48,3.0
2017,Eden Gardens,Chennai Super Kings,Sunrisers Hyderabad,Ravindra Jadeja,bowler,,,,2.0,5.36,3.0
2018,MA Chidambaram Stadium,Royal Challengers Bangalore,Chennai Super Kings,Ravindra Jadeja,bowler,,,,4.0,9.29,3.0
2018,Eden Gardens,Mumbai Indians,Delhi Capitals,Yuzvendra Chahal,bowler,,,,4.0,8.07,4.0
2018,MA Chidambaram Stadium,Kolkata Knight Riders,Chennai Super Kings,Rohit Sharma,batsman,41.0,174.6,71.0,,,
2018,M Chinnaswamy Stadium,Kolkata Knight Riders,Mumbai Indians,KL Rahul,batsman,26.0,119.76,31.0,,,
2018,Arun Jaitley Stadium,Royal Challengers Bangalore,Mumbai Indians,Rohit Sharma,batsman,22.0,169.58,37.0,,,
2018,Arun Jaitley Stadium,Mumbai Indians,Kolkata Knight Riders,Yuzvendra Chahal,bowler,,,,4.0,5.62,5.0
2018,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Jasprit Bumrah,bowler,,,,4.0,9.29,1.0
2018,Eden Gardens,Sunrisers Hyderabad,Royal Challengers Bangalore,Jasprit Bumrah,bowler,,,,3.0,7.48,3.0
2018,MA Chidambaram Stadium,Kolkata Knight Riders,Chennai Super Kings,Shubman Gill,batsman,20.0,156.43,31.0,,,
2018,M Chinnaswamy Stadium,Chennai Super Kings,Delhi Capitals,Shubman Gill,batsman,17.0,128.18,21.0,,,
2018,Eden Gardens,Mumbai Indians,Chennai Super Kings,Rishabh Pant,batsman,29.0,157.07,45.0,,,
2018,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Rishabh Pant,batsman,14.0,170.58,23.0,,,
2018,M Chinnaswamy Stadium,Kolkata Knight Riders,Chennai Super Kings,Rishabh Pant,batsman,38.0,177.86,67.0,,,
2018,Eden Gardens,Delhi Capitals,Chennai Super Kings,Rohit Sharma,batsman,34.0,131.39,44.0,,,
2018,MA Chidambaram Stadium,Mumbai Indians,Sunrisers Hyderabad,Ravindra Jadeja,bowler,,,,4.0,6.53,3.0
2018,Arun Jaitley Stadium,Mumbai Indians,Sunrisers Hyderabad,Rohit Sharma,batsman,31.0,111.0,34.0,,,
2018,Wankhede Stadium,Kolkata Knight Riders,Delhi Capitals,Mohammed Shami,bowler,,,,2.0,6.31,5.0
2018,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Capitals,Yuzvendra Chahal,bowler,,,,2.0,6.54,0.0
2018,Wankhede Stadium,Chennai Super Kings,Royal Challengers Bangalore,Jasprit Bumrah,bowler,,,,2.0,7.04,5.0
2018,Arun Jaitley Stadium,Sunrisers Hyderabad,Mumbai Indians,Jasprit Bumrah,bowler,,,,2.0,7.83,2.0
2018,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Yuzvendra Chahal,bowler,,,,2.0,7.57,3.0
2018,Arun Jaitley Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Yuzvendra Chahal,bowler,,,,3.0,6.37,5.0
2018,Wankhede Stadium,Kolkata Knight Riders,Chennai Super Kings,Jasprit Bumrah,bowler,,,,4.0,6.5,3.0
2018,MA Chidambaram Stadium,Sunrisers Hyderabad,Chennai Super Kings,Shubman Gill,batsman,68.0,142.58,96.0,,,
2018,MA Chidambaram Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Shubman Gill,batsman,36.0,162.63,58.0,,,
2018,Wankhede Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Yuzvendra Chahal,bowler,,,,4.0,8.22,4.0
2018,Arun Jaitley Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Yuzvendra Chahal,bowler,,,,3.0,5.49,5.0
2018,M Chinnaswamy Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Rohit Sharma,batsman,32.0,170.23,54.0,,,
2018,Eden Gardens,Delhi Capitals,Royal Challengers Bangalore,Rishabh Pant,batsman,31.0,126.26,39.0,,,
2018,M Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bangalore,KL Rahul,batsman,13.0,179.47,23.0,,,
2018,Eden Gardens,Mumbai Indians,Royal Challengers Bangalore,KL Rahul,batsman,32.0,168.86,54.0,,,
2018,Wankhede Stadium,Royal Challengers Bangalore,Delhi Capitals,Shubman Gill,batsman,27.0,102.16,27.0,,,
2018,M Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bangalore,Mohammed Shami,bowler,,,,4.0,6.0,0.0
2018,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Ravindra Jadeja,bowler,,,,3.0,6.73,0.0
2018,Arun Jaitley Stadium,Mumbai Indians,Royal Challengers Bangalore,Jasprit Bumrah,bowler,,,,3.0,7.72,5.0
2018,Eden Gardens,Delhi Capitals,Mumbai Indians,Rohit Sharma,batsman,11.0,147.04,16.0,,,
2018,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Yuzvendra Chahal,bowler,,,,4.0,8.68,0.0
2018,MA Chidambaram Stadium,Delhi Capitals,Kolkata Knight Riders,Mohammed Shami,bowler,,,,3.0,6.84,3.0
2018,Eden Gardens,Sunrisers Hyderabad,Mumbai Indians,Rishabh Pant,batsman,43.0,157.92,67.0,,,
2018,Wankhede Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Mohammed Shami,bowler,,,,3.0,7.54,5.0
2018,Eden Gardens,Mumbai Indians,Chennai Super Kings,KL Rahul,batsman,42.0,136.71,57.0,,,
2018,M Chinnaswamy Stadium,Mumbai Indians,Sunrisers Hyderabad,KL Rahul,batsman,56.0,138.92,77.0,,,
2018,M Chinnaswamy Stadium,Chennai Super Kings,Delhi Capitals,Mohammed Shami,bowler,,,,4.0,6.39,1.0
2018,MA Chidambaram Stadium,Delhi Capitals,Mumbai Indians,Rishabh Pant,batsman,54.0,155.02,83.0,,,
2018,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,Rishabh Pant,batsman,38.0,113.64,43.0,,,
2018,M Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Virat Kohli,batsman,15.0,126.75,19.0,,,
2018,MA Chidambaram Stadium,Chennai Super Kings,Delhi Capitals,Rohit Sharma,batsman,37.0,175.77,65.0,,,
2018,Wankhede Stadium,Delhi Capitals,Sunrisers Hyderabad,Rohit Sharma,batsman,40.0,134.72,53.0,,,
2018,MA Chidambaram Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Ravindra Jadeja,bowler,,,,4.0,6.79,2.0
2018,Arun Jaitley Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Ravindra Jadeja,bowler,,,,3.0,9.94,2.0
2018,Wankhede Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Sunil Narine,bowler,,,,2.0,7.94,2.0
2018,Arun Jaitley Stadium,Kolkata Knight Riders,Mumbai Indians,Ravindra Jadeja,bowler,,,,3.0,9.39,1.0
2018,Arun Jaitley Stadium,Chennai Super Kings,Sunrisers Hyderabad,Yuzvendra Chahal,bowler,,,,2.0,6.14,5.0
2018,Arun Jaitley Stadium,Sunrisers Hyderabad,Mumbai Indians,KL Rahul,batsman,26.0,100.65,26.0,,,
2018,MA Chidambaram Stadium,Mumbai Indians,Delhi Capitals,KL Rahul,batsman,40.0,172.63,69.0,,,
2018,Wankhede Stadium,Chennai Super Kings,Mumbai Indians,Jasprit Bumrah,bowler,,,,3.0,8.27,1.0
2018,M Chinnaswamy Stadium,Delhi Capitals,Royal Challengers Bangalore,Virat Kohli,batsman,37.0,118.83,43.0,,,
2018,Eden Gardens,Chennai Super Kings,Sunrisers Hyderabad,Yuzvendra Chahal,bowler,,,,3.0,7.1,0.0
2018,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,Shubman Gill,batsman,37.0,105.59,39.0,,,
2018,Arun Jaitley Stadium,Delhi Capitals,Sunrisers Hyderabad,Yuzvendra Chahal,bowler,,,,2.0,9.48,1.0
2018,Wankhede Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Jasprit Bumrah,bowler,,,,3.0,7.13,3.0
2018,M Chinnaswamy Stadium,Mumbai Indians,Delhi Capitals,Sunil Narine,bowler,,,,3.0,7.36,2.0
2018,Arun Jaitley Stadium,Mumbai Indians,Royal Challengers Bangalore,Rishabh Pant,batsman,61.0,160.1,97.0,,,
2018,Wankhede Stadium,Sunrisers Hyderabad,Chennai Super Kings,Yuzvendra Chahal,bowler,,,,4.0,5.87,4.0
2018,Arun Jaitley Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Shubman Gill,batsman,51.0,142.09,72.0,,,
2018,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Yuzvendra Chahal,bowler,,,,3.0,8.21,0.0
2018,MA Chidambaram Stadium,Delhi Capitals,Kolkata Knight Riders,KL Rahul,batsman,17.0,108.02,18.0,,,
2018,Eden Gardens,Chennai Super Kings,Royal Challengers Bangalore,Virat Kohli,batsman,26.0,171.45,44.0,,,
2018,Wankhede Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Virat Kohli,batsman,37.0,120.76,44.0,,,
2018,MA Chidambaram Stadium,Mumbai Indians,Royal Challengers Bangalore,Ravindra Jadeja,bowler,,,,2.0,7.78,2.0
2018,MA Chidambaram Stadium,Chennai Super Kings,Delhi Capitals,Ravindra Jadeja,bowler,,,,2.0,7.81,2.0
2018,Arun Jaitley Stadium,Sunrisers Hyderabad,Chennai Super Kings,Rohit Sharma,batsman,19.0,130.18,24.0,,,
2018,MA Chidambaram Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Rohit Sharma,batsman,44.0,120.09,52.0,,,
2018,Arun Jaitley Stadium,Chennai Super Kings,Sunrisers Hyderabad,Yuzvendra Chahal,bowler,,,,2.0,7.11,3.0
2018,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians,Sunil Narine,bowler,,,,4.0,8.85,4.0
2018,Wankhede Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Yuzvendra Chahal,bowler,,,,4.0,6.88,5.0
2018,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Sunil Narine,bowler,,,,4.0,6.83,1.0
2018,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,Ravindra Jadeja,bowler,,,,3.0,5.88,0.0
2018,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Shubman Gill,batsman,21.0,111.41,23.0,,,
2018,Wankhede Stadium,Royal Challengers Bangalore,Chennai Super Kings,Virat Kohli,batsman,26.0,165.48,43.0,,,
2018,Arun Jaitley Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Rishabh Pant,batsman,27.0,124.61,33.0,,,
2018,Wankhede Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,KL Rahul,batsman,16.0,173.22,27.0,,,
2018,M Chinnaswamy Stadium,Sunrisers Hyderabad,Chennai Super Kings,Shubman Gill,batsman,63.0,134.31,84.0,,,
2018,Wankhede Stadium,Chennai Super Kings,Royal Challengers Bangalore,Shubman Gill,batsman,38.0,127.4,48.0,,,
2018,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Sunil Narine,bowler,,,,3.0,9.38,3.0
2018,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Mohammed Shami,bowler,,,,3.0,7.35,5.0
2018,MA Chidambaram Stadium,Chennai Super Kings,Delhi Capitals,KL Rahul,batsman,66.0,150.4,99.0,,,
2018,M Chinnaswamy Stadium,Delhi Capitals,Chennai Super Kings,Jasprit Bumrah,bowler,,,,3.0,9.14,0.0
2018,Wankhede Stadium,Kolkata Knight Riders,Delhi Capitals,Rishabh Pant,batsman,64.0,107.16,68.0,,,
2018,M Chinnaswamy Stadium,Delhi Capitals,Mumbai Indians,Jasprit Bumrah,bowler,,,,4.0,8.4,3.0
2018,M Chinnaswamy Stadium,Delhi Capitals,Kolkata Knight Riders,Rohit Sharma,batsman,46.0,165.39,76.0,,,
2018,Arun Jaitley Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Shubman Gill,batsman,47.0,151.14,71.0,,,
2018,Arun Jaitley Stadium,Chennai Super Kings,Royal Challengers Bangalore,Ravindra Jadeja,bowler,,,,3.0,9.4,1.0
2018,Arun Jaitley Stadium,Delhi Capitals,Sunrisers Hyderabad,Mohammed Shami,bowler,,,,4.0,6.36,5.0
2018,Arun Jaitley Stadium,Chennai Super Kings,Kolkata Knight Riders,Rishabh Pant,batsman,38.0,115.26,43.0,,,
2018,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mohammed Shami,bowler,,,,2.0,9.53,2.0
2018,MA Chidambaram Stadium,Mumbai Indians,Chennai Super Kings,Yuzvendra Chahal,bowler,,,,2.0,7.54,1.0
2018,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Virat Kohli,batsman,68.0,147.56,100.0,,,
2018,MA Chidambaram Stadium,Delhi Capitals,Royal Challengers Bangalore,Rishabh Pant,batsman,38.0,131.43,49.0,,,
2018,M Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bangalore,Sunil Narine,bowler,,,,3.0,7.3,1.0
2018,MA Chidambaram Stadium,Royal Challengers Bangalore,Mumbai Indians,Virat Kohli,batsman,45.0,168.81,75.0,,,
2018,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Sunil Narine,bowler,,,,3.0,5.88,2.0
2018,Arun Jaitley Stadium,Royal Challengers Bangalore,Delhi Capitals,Mohammed Shami,bowler,,,,2.0,7.02,3.0
2018,MA Chidambaram Stadium,Chennai Super Kings,Royal Challengers Bangalore,Rohit Sharma,batsman,25.0,173.05,43.0,,,
2018,Wankhede Stadium,Royal Challengers Bangalore,Delhi Capitals,Virat Kohli,batsman,40.0,131.74,52.0,,,
2018,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunil Narine,bowler,,,,3.0,7.9,1.0
2018,MA Chidambaram Stadium,Delhi Capitals,Mumbai Indians,KL Rahul,batsman,16.0,133.92,21.0,,,
2018,Arun Jaitley Stadium,Kolkata Knight Riders,Chennai Super Kings,Virat Kohli,batsman,25.0,126.98,31.0,,,
2018,Arun Jaitley Stadium,Chennai Super Kings,Delhi Capitals,Jasprit Bumrah,bowler,,,,4.0,5.49,0.0
2018,MA Chidambaram Stadium,Mumbai Indians,Royal Challengers Bangalore,KL Rahul,batsman,16.0,155.98,24.0,,,
2018,MA Chidambaram Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Shubman Gill,batsman,47.0,175.3,82.0,,,
2018,MA Chidambaram Stadium,Chennai Super Kings,Delhi Capitals,KL Rahul,batsman,57.0,124.11,70.0,,,
2018,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,Sunil Narine,bowler,,,,3.0,7.85,1.0
2018,Arun Jaitley Stadium,Chennai Super Kings,Sunrisers Hyderabad,Rishabh Pant,batsman,30.0,127.39,38.0,,,
2018,Wankhede Stadium,Mumbai Indians,Delhi Capitals,Yuzvendra Chahal,bowler,,,,3.0,5.83,5.0
2018,MA Chidambaram Stadium,Kolkata Knight Riders,Mumbai Indians,Jasprit Bumrah,bowler,,,,4.0,7.89,0.0
2018,Arun Jaitley Stadium,Chennai Super Kings,Sunrisers Hyderabad,Rishabh Pant,batsman,12.0,118.73,14.0,,,
2018,Wankhede Stadium,Kolkata Knight Riders,Delhi Capitals,Shubman Gill,batsman,32.0,125.2,40.0,,,
2018,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Mohammed Shami,bowler,,,,3.0,9.26,3.0
2018,M Chinnaswamy Stadium,Sunrisers Hyderabad,Mumbai Indians,KL Rahul,batsman,44.0,121.63,53.0,,,
2018,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Virat Kohli,batsman,13.0,142.82,18.0,,,
2018,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,Ravindra Jadeja,bowler,,,,4.0,7.79,0.0
2018,Arun Jaitley Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,KL Rahul,batsman,19.0,146.87,27.0,,,
2018,Arun Jaitley Stadium,Delhi Capitals,Chennai Super Kings,Rishabh Pant,batsman,54.0,179.76,97.0,,,
2018,Eden Gardens,Sunrisers Hyderabad,Royal Challengers Bangalore,Ravindra Jadeja,bowler,,,,4.0,9.55,1.0
2018,MA Chidambaram Stadium,Sunrisers Hyderabad,Delhi Capitals,Virat Kohli,batsman,33.0,124.63,41.0,,,
2018,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,Rishabh Pant,batsman,26.0,116.67,30.0,,,
2018,M Chinnaswamy Stadium,Sunrisers Hyderabad,Mumbai Indians,Virat Kohli,batsman,15.0,154.44,23.0,,,
2018,MA Chidambaram Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,KL Rahul,batsman,66.0,145.02,95.0,,,
2018,MA Chidambaram Stadium,Mumbai Indians,Sunrisers Hyderabad,KL Rahul,batsman,56.0,158.98,89.0,,,
2018,Arun Jaitley Stadium,Royal Challengers Bangalore,Mumbai Indians,Jasprit Bumrah,bowler,,,,4.0,5.11,1.0
2018,Eden Gardens,Sunrisers Hyderabad,Delhi Capitals,Jasprit Bumrah,bowler,,,,2.0,6.8,3.0
2018,Eden Gardens,Royal Challengers Bangalore,Delhi Capitals,Virat Kohli,batsman,49.0,127.51,62.0,,,
2018,M Chinnaswamy Stadium,Sunrisers Hyderabad,Mumbai Indians,Virat Kohli,batsman,16.0,114.27,18.0,,,
2018,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Rohit Sharma,batsman,67.0,162.57,108.0,,,
2018,Wankhede Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,KL Rahul,batsman,62.0,172.47,106.0,,,
2018,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Sunil Narine,bowler,,,,2.0,6.09,3.0
2018,MA Chidambaram Stadium,Chennai Super Kings,Delhi Capitals,KL Rahul,batsman,64.0,127.41,81.0,,,
2018,Arun Jaitley Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Mohammed Shami,bowler,,,,2.0,6.78,5.0
2018,M Chinnaswamy Stadium,Sunrisers Hyderabad,Chennai Super Kings,Ravindra Jadeja,bowler,,,,4.0,5.26,1.0
2018,Arun Jaitley Stadium,Royal Challengers Bangalore,Mumbai Indians,Virat Kohli,batsman,19.0,130.18,24.0,,,
2018,Eden Gardens,Kolkata Knight Riders,Delhi Capitals,Rohit Sharma,batsman,44.0,106.28,46.0,,,
2018,Arun Jaitley Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Mohammed Shami,bowler,,,,4.0,8.73,3.0
2018,M Chinnaswamy Stadium,Delhi Capitals,Sunrisers Hyderabad,Yuzvendra Chahal,bowler,,,,2.0,6.4,5.0
2018,Arun Jaitley Stadium,Chennai Super Kings,Sunrisers Hyderabad,KL Rahul,batsman,24.0,157.21,37.0,,,
2018,Arun Jaitley Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Yuzvendra Chahal,bowler,,,,2.0,7.96,2.0
2018,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,Mohammed Shami,bowler,,,,4.0,6.27,1.0
2018,Wankhede Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Jasprit Bumrah,bowler,,,,4.0,6.03,1.0
2018,Wankhede Stadium,Delhi Capitals,Royal Challengers Bangalore,Ravindra Jadeja,bowler,,,,4.0,6.97,3.0
2018,Wankhede Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,KL Rahul,batsman,55.0,154.26,84.0,,,
2019,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,KL Rahul,batsman,22.0,122.5,26.0,,,
2019,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Ravindra Jadeja,bowler,,,,2.0,6.04,3.0
2019,MA Chidambaram Stadium,Delhi Capitals,Chennai Super Kings,Rohit Sharma,batsman,22.0,145.17,31.0,,,
2019,MA Chidambaram Stadium,Mumbai Indians,Kolkata Knight Riders,Yuzvendra Chahal,bowler,,,,3.0,7.91,2.0
2019,MA Chidambaram Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Yuzvendra Chahal,bowler,,,,3.0,9.58,3.0
2019,M Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bangalore,Yuzvendra Chahal,bowler,,,,2.0,9.34,5.0
2019,MA Chidambaram Stadium,Kolkata Knight Riders,Delhi Capitals,Ravindra Jadeja,bowler,,,,3.0,8.96,4.0
2019,MA Chidambaram Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Rohit Sharma,batsman,50.0,138.86,69.0,,,
2019,Wankhede Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Virat Kohli,batsman,14.0,103.04,14.0,,,
2019,Arun Jaitley Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Shubman Gill,batsman,63.0,127.44,80.0,,,
2019,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Shubman Gill,batsman,36.0,144.11,51.0,,,
2019,MA Chidambaram Stadium,Chennai Super Kings,Royal Challengers Bangalore,KL Rahul,batsman,25.0,112.62,28.0,,,
2019,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Jasprit Bumrah,bowler,,,,2.0,7.93,4.0
2019,MA Chidambaram Stadium,Royal Challengers Bangalore,Chennai Super Kings,Yuzvendra Chahal,bowler,,,,2.0,5.88,3.0
2019,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Jasprit Bumrah,bowler,,,,3.0,5.77,4.0
2019,Eden Gardens,Sunrisers Hyderabad,Mumbai Indians,Sunil Narine,bowler,,,,2.0,7.28,1.0
2019,MA Chidambaram Stadium,Chennai Super Kings,Sunrisers Hyderabad,KL Rahul,batsman,22.0,136.99,30.0,,,
2019,Eden Gardens,Sunrisers Hyderabad,Chennai Super Kings,Virat Kohli,batsman,27.0,175.96,47.0,,,
2019,MA Chidambaram Stadium,Mumbai Indians,Chennai Super Kings,Jasprit Bumrah,bowler,,,,4.0,7.26,4.0
2019,MA Chidambaram Stadium,Mumbai Indians,Kolkata Knight Riders,Rishabh Pant,batsman,62.0,131.12,81.0,,,
2019,M Chinnaswamy Stadium,Chennai Super Kings,Delhi Capitals,Rohit Sharma,batsman,30.0,154.6,46.0,,,
2019,Arun Jaitley Stadium,Chennai Super Kings,Kolkata Knight Riders,Jasprit Bumrah,bowler,,,,2.0,5.5,5.0
2019,MA Chidambaram Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Ravindra Jadeja,bowler,,,,4.0,5.7,5.0
2019,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Virat Kohli,batsman,20.0,149.3,29.0,,,
2019,MA Chidambaram Stadium,Mumbai Indians,Sunrisers Hyderabad,Jasprit Bumrah,bowler,,,,3.0,7.27,3.0
2019,Arun Jaitley Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Rishabh Pant,batsman,29.0,159.97,46.0,,,
2019,Wankhede Stadium,Kolkata Knight Riders,Chennai Super Kings,Ravindra Jadeja,bowler,,,,2.0,7.32,3.0
2019,MA Chidambaram Stadium,Kolkata Knight Riders,Delhi Capitals,Virat Kohli,batsman,65.0,105.41,68.0,,,
2019,Eden Gardens,Delhi Capitals,Royal Challengers Bangalore,Ravindra Jadeja,bowler,,,,3.0,7.92,2.0
2019,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mohammed Shami,bowler,,,,2.0,5.29,5.0
2019,Wankhede Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Mohammed Shami,bowler,,,,3.0,8.27,5.0
2019,MA Chidambaram Stadium,Kolkata Knight Riders,Delhi Capitals,Yuzvendra Chahal,bowler,,,,3.0,8.79,2.0
2019,Eden Gardens,Chennai Super Kings,Royal Challengers Bangalore,Ravindra Jadeja,bowler,,,,4.0,5.22,5.0
2019,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Jasprit Bumrah,bowler,,,,3.0,5.96,1.0
2019,MA Chidambaram Stadium,Mumbai Indians,Royal Challengers Bangalore,Shubman Gill,batsman,14.0,176.64,24.0,,,
2019,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Yuzvendra Chahal,bowler,,,,4.0,7.23,0.0
2019,Eden Gardens,Chennai Super Kings,Royal Challengers Bangalore,Sunil Narine,bowler,,,,4.0,6.67,1.0
2019,Wankhede Stadium,Sunrisers Hyderabad,Delhi Capitals,Ravindra Jadeja,bowler,,,,2.0,8.27,0.0
2019,Arun Jaitley Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,KL Rahul,batsman,61.0,116.18,70.0,,,
2019,Arun Jaitley Stadium,Delhi Capitals,Chennai Super Kings,Shubman Gill,batsman,18.0,105.59,19.0,,,
2019,Wankhede Stadium,Chennai Super Kings,Mumbai Indians,Sunil Narine,bowler,,,,4.0,8.6,1.0
2019,Eden Gardens,Royal Challengers Bangalore,Sunrisers Hyderabad,Mohammed Shami,bowler,,,,4.0,7.53,1.0
2019,M Chinnaswamy Stadium,Delhi Capitals,Royal Challengers Bangalore,Jasprit Bumrah,bowler,,,,3.0,9.15,2.0
